equipment_id,equipment_type,location,manufacturer,model,installation_date,status,last_maintenance
EQ001,Transformer,Substation Alpha,Siemens,T400,2019-03-15,Active,2024-01-10
EQ002,Generator,Power Plant Beta,GE,GEN-500,2020-07-22,Active,2024-02-05
EQ003,Switch,Distribution Center Gamma,ABB,SW-100,2018-11-30,Maintenance,2023-12-20
EQ004,Cable,Underground Route 1,Nexans,HV-Cable,2021-05-10,Active,2024-01-25
EQ005,Meter,Residential Zone A,Landis+Gyr,E650,2022-01-18,Active,2024-02-15
EQ006,Transformer,Substation Beta,Schneider,TR-300,2017-09-12,Active,2023-11-28
EQ007,Breaker,Industrial Zone B,Eaton,CB-200,2020-04-08,Inactive,2023-10-15
EQ008,Relay,Control Center,SEL,REL-351,2019-12-03,Active,2024-01-30
EQ009,Capacitor,Substation Gamma,Cooper,CAP-50,2021-08-14,Active,2024-02-10
EQ010,Motor,Pump Station Delta,WEG,MOT-100,2022-06-20,Maintenance,2024-01-05 